,All Crime,Assault,Battery,Burglary,Deceptive,Homicide,Latitude,Longitude,Motor,Narcotics,Robbery,Theft,Trespassing,Weapons,lat,lon,coord,Neighborhoods,Beats,Cell Towers,waste_basket,library,grave_yard,fire_station,drinking_water,fountain,pub,bicycle_parking,pharmacy,bar,bank,bicycle_rental,bench,cafe,fuel,fast_food,school,restaurant,place_of_worship,parking,Divvy,Bike Rack,Bus Stop,L Stop,Metra
0,1074,48,158,29,16,1,42.0224578821,-87.675421179,14,77,28,86,30,15,42.0224578821,-87.675421179,"('-87.675421179', '42.0224578821')",48,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0
1,2600,219,674,97,53,6,42.0224578821,-87.6709296026,40,381,73,288,161,55,42.0224578821,-87.6709296026,"('-87.6709296026', '42.0224578821')",48,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2,948,72,247,63,40,4,42.0224578821,-87.6664380261,18,49,22,191,30,13,42.0224578821,-87.6664380261,"('-87.6664380261', '42.0224578821')",48,31,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
3,61,2,14,4,6,0,42.0179663057,-87.8191516244,1,0,0,19,4,0,42.0179663057,-87.8191516244,"('-87.8191516244', '42.0179663057')",73,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,70,4,4,5,14,0,42.0179663057,-87.814660048,0,0,1,21,4,0,42.0179663057,-87.814660048,"('-87.814660048', '42.0179663057')",73,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,87,4,15,9,12,0,42.0179663057,-87.8101684716,3,2,0,13,3,0,42.0179663057,-87.8101684716,"('-87.8101684716', '42.0179663057')",73,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,199,8,17,30,9,0,42.0179663057,-87.7068622139,18,3,2,59,10,0,42.0179663057,-87.7068622139,"('-87.7068622139', '42.0179663057')",55,34,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0
7,200,3,16,29,7,0,42.0179663057,-87.7023706375,13,4,6,54,7,4,42.0179663057,-87.7023706375,"('-87.7023706375', '42.0179663057')",55,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,213,9,27,23,7,0,42.0179663057,-87.6978790611,10,2,6,64,8,2,42.0179663057,-87.6978790611,"('-87.6978790611', '42.0179663057')",55,34,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,9,0,0
9,435,24,60,37,19,0,42.0179663057,-87.6933874847,29,6,10,99,9,3,42.0179663057,-87.6933874847,"('-87.6933874847', '42.0179663057')",55,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
