,lat,lon,ur_lat,ur_long,bl_lat,bl_long,ul_lat,ul_long,br_lat,br_long,coord,Neighborhoods,Beats,Cell Towers,waste_basket,library,grave_yard,fire_station,drinking_water,fountain,pub,bicycle_parking,pharmacy,bar,bank,bicycle_rental,bench,cafe,fuel,fast_food,school,restaurant,place_of_worship,parking,Divvy,Bike Rack,Bus Stop,L Stop,Metra
569,42.0224578821,-87.675421179,42.0247036703,-87.6731753908,42.0202120939,-87.6776669672,42.0247036703,-87.6776669672,42.0202120939,-87.6731753908,"('-87.675421179', '42.0224578821')",48,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0
570,42.0224578821,-87.6709296026,42.0247036703,-87.6686838143,42.0202120939,-87.6731753908,42.0247036703,-87.6731753908,42.0202120939,-87.6686838143,"('-87.6709296026', '42.0224578821')",48,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
571,42.0224578821,-87.6664380261,42.0247036703,-87.6641922379,42.0202120939,-87.6686838143,42.0247036703,-87.6686838143,42.0202120939,-87.6641922379,"('-87.6664380261', '42.0224578821')",48,31,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
637,42.0179663057,-87.8191516244,42.0202120939,-87.8169058362,42.0157205175,-87.8213974126,42.0202120939,-87.8213974126,42.0157205175,-87.8169058362,"('-87.8191516244', '42.0179663057')",73,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638,42.0179663057,-87.814660048,42.0202120939,-87.8124142598,42.0157205175,-87.8169058362,42.0202120939,-87.8169058362,42.0157205175,-87.8124142598,"('-87.814660048', '42.0179663057')",73,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
639,42.0179663057,-87.8101684716,42.0202120939,-87.8079226834,42.0157205175,-87.8124142598,42.0202120939,-87.8124142598,42.0157205175,-87.8079226834,"('-87.8101684716', '42.0179663057')",73,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
662,42.0179663057,-87.7068622139,42.0202120939,-87.7046164257,42.0157205175,-87.7091080021,42.0202120939,-87.7091080021,42.0157205175,-87.7046164257,"('-87.7068622139', '42.0179663057')",55,34,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0
663,42.0179663057,-87.7023706375,42.0202120939,-87.7001248493,42.0157205175,-87.7046164257,42.0202120939,-87.7046164257,42.0157205175,-87.7001248493,"('-87.7023706375', '42.0179663057')",55,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
664,42.0179663057,-87.6978790611,42.0202120939,-87.6956332729,42.0157205175,-87.7001248493,42.0202120939,-87.7001248493,42.0157205175,-87.6956332729,"('-87.6978790611', '42.0179663057')",55,34,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,9,0,0
665,42.0179663057,-87.6933874847,42.0202120939,-87.6911416965,42.0157205175,-87.6956332729,42.0202120939,-87.6956332729,42.0157205175,-87.6911416965,"('-87.6933874847', '42.0179663057')",55,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
666,42.0179663057,-87.6888959082,42.0202120939,-87.68665012,42.0157205175,-87.6911416965,42.0202120939,-87.6911416965,42.0157205175,-87.68665012,"('-87.6888959082', '42.0179663057')",55,34,25,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,3,0,2,0,1,1,4,9,0,0
667,42.0179663057,-87.6844043318,42.0202120939,-87.6821585436,42.0157205175,-87.68665012,42.0202120939,-87.68665012,42.0157205175,-87.6821585436,"('-87.6844043318', '42.0179663057')",48,32,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,4,0,0
668,42.0179663057,-87.6799127554,42.0202120939,-87.6776669672,42.0157205175,-87.6821585436,42.0202120939,-87.6821585436,42.0157205175,-87.6776669672,"('-87.6799127554', '42.0179663057')",48,32,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,2,4,0,0
669,42.0179663057,-87.675421179,42.0202120939,-87.6731753908,42.0157205175,-87.6776669672,42.0202120939,-87.6776669672,42.0157205175,-87.6731753908,"('-87.675421179', '42.0179663057')",48,31,40,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,1,0,9,2,9,6,0,0
670,42.0179663057,-87.6709296026,42.0202120939,-87.6686838143,42.0157205175,-87.6731753908,42.0202120939,-87.6731753908,42.0157205175,-87.6686838143,"('-87.6709296026', '42.0179663057')",48,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,10,11,6,0
671,42.0179663057,-87.6664380261,42.0202120939,-87.6641922379,42.0157205175,-87.6686838143,42.0202120939,-87.6686838143,42.0157205175,-87.6641922379,"('-87.6664380261', '42.0179663057')",48,31,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,4,6,0,0
737,42.0134747293,-87.8191516244,42.0157205175,-87.8169058362,42.0112289411,-87.8213974126,42.0157205175,-87.8213974126,42.0112289411,-87.8169058362,"('-87.8191516244', '42.0134747293')",73,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
738,42.0134747293,-87.814660048,42.0157205175,-87.8124142598,42.0112289411,-87.8169058362,42.0157205175,-87.8169058362,42.0112289411,-87.8124142598,"('-87.814660048', '42.0134747293')",73,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,42.0134747293,-87.8101684716,42.0157205175,-87.8079226834,42.0112289411,-87.8124142598,42.0157205175,-87.8124142598,42.0112289411,-87.8079226834,"('-87.8101684716', '42.0134747293')",73,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
