,RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical,F12,F13,LOCATION
0,651,1 E Jackson Blvd,2,32,Loop,1,41.8781,-87.627495,0,41.8781,-87.627495,"(41.878100, -87.627495)"
1,1409,1 E 51st St,3,40,Washington Park,1,41.8019,-87.625808,1,41.8019,-87.625808,"(41.801900, -87.625808)"
2,1989,1 E Adams St,42,32,Loop,3,41.879382,-87.627517,1,41.879382,-87.627517,"(41.879382, -87.627517)"
3,6379,1 E Erie St,42,8,Near North Side,1,41.893974,-87.627945,1,41.893974,-87.627945,"(41.893974, -87.627945)"
4,3058,1 E Jackson Blvd,2,32,Loop,2,41.8781,-87.627495,1,41.8781,-87.627495,"(41.878100, -87.627495)"
5,5019,1 E Jackson Blvd,2,32,Loop,2,41.8781,-87.627495,1,41.8781,-87.627495,"(41.878100, -87.627495)"
6,4004,1 E Wacker Dr,42,32,Loop,3,41.886752,-87.627907,1,41.886752,-87.627907,"(41.886752, -87.627907)"
7,6162,1 E Wacker Dr,42,32,Loop,1,41.886752,-87.627907,1,41.886752,-87.627907,"(41.886752, -87.627907)"
8,2429,1 N Clark St,42,32,Loop,2,41.882059,-87.6308,1,41.882059,-87.6308,"(41.882059, -87.630800)"
9,957,1 N Franklin St,42,32,Loop,1,41.882014,-87.635242,0,41.882014,-87.635242,"(41.882014, -87.635242)"
10,3071,1 N Karlov Ave,28,26,West Garfield Park,1,41.880839,-87.727945,1,41.880839,-87.727945,"(41.880839, -87.727945)"
11,6394,1 N State St,42,32,Loop,1,41.882136,-87.627724,1,41.882136,-87.627724,"(41.882136, -87.627724)"
12,4063,1 N Wells St,42,32,Loop,2,41.882023,-87.633753,1,41.882023,-87.633753,"(41.882023, -87.633753)"
13,2559,1 S Dearborn St,42,32,Loop,2,41.881865,-87.629267,1,41.881865,-87.629267,"(41.881865, -87.629267)"
14,2940,1 S Halsted St,27,28,Near West Side,1,41.881643,-87.647206,1,41.881643,-87.647206,"(41.881643, -87.647206)"
15,3451,1 S Michigan Ave,42,32,Loop,1,41.881974,-87.624027,1,41.881974,-87.624027,"(41.881974, -87.624027)"
16,3990,1 S Wabash Ave,42,32,Loop,2,41.881969,-87.626054,1,41.881969,-87.626054,"(41.881969, -87.626054)"
17,6398,1 S Wacker Dr,2,32,Loop,2,41.881868,-87.636676,1,41.881868,-87.636676,"(41.881868, -87.636676)"
18,4087,1 S Wells St,42,32,Loop,2,41.881877,-87.633745,1,41.881877,-87.633745,"(41.881877, -87.633745)"
19,3512,1 W Monroe St,42,32,Loop,3,41.880644,-87.627934,1,41.880644,-87.627934,"(41.880644, -87.627934)"
20,3716,1 W Quincy St,42,32,Loop,1,41.878611,-87.629992,1,41.878611,-87.629992,"(41.878611, -87.629992)"
21,3087,10 S Kedzie Ave,28,27,East Garfield Park,3,41.880745,-87.706283,1,41.880745,-87.706283,"(41.880745, -87.706283)"
22,6370,10 S Kedzie Ave,28,27,East Garfield Park,1,41.880745,-87.706283,1,41.880745,-87.706283,"(41.880745, -87.706283)"
23,1025,10 S Riverside Plz,2,28,Near West Side,1,41.881674,-87.638874,0,41.881674,-87.638874,"(41.881674, -87.638874)"
24,3755,10 S Riverside Plz,2,28,Near West Side,1,41.881674,-87.638874,1,41.881674,-87.638874,"(41.881674, -87.638874)"
25,6407,10 S Riverside Plz,2,28,Near West Side,1,41.881674,-87.638874,1,41.881674,-87.638874,"(41.881674, -87.638874)"
26,3991,10 S Wabash Ave,42,32,Loop,1,41.881482,-87.626258,1,41.881482,-87.626258,"(41.881482, -87.626258)"
27,18,10 W Elm St,42,8,Near North Side,1,41.903298,-87.629075,0,41.903298,-87.629075,"(41.903298, -87.629075)"
28,3118,10 W Kinzie St,42,8,Near North Side,1,41.889383,-87.628459,1,41.889383,-87.628459,"(41.889383, -87.628459)"
29,3143,10 W Lake St,42,32,Loop,3,41.885892,-87.628341,1,41.885892,-87.628341,"(41.885892, -87.628341)"
30,3153,100 E Lake St,42,32,Loop,1,41.885824,-87.624439,1,41.885824,-87.624439,"(41.885824, -87.624439)"
31,4035,100 E Walton Pl,42,8,Near North Side,2,41.900133,-87.624935,1,41.900133,-87.624935,"(41.900133, -87.624935)"
32,5400,100 N Central Ave,29,25,Austin,2,41.882286,-87.76498,1,41.882286,-87.76498,"(41.882286, -87.764980)"
33,2291,100 N Central Park Ave,28,27,East Garfield Park,13,41.881855,-87.715858,1,41.881855,-87.715858,"(41.881855, -87.715858)"
34,5404,100 N Central Park Ave,28,27,East Garfield Park,6,41.881855,-87.715858,1,41.881855,-87.715858,"(41.881855, -87.715858)"
35,2365,100 N Clark St,42,32,Loop,2,41.883306,-87.63097,1,41.883306,-87.63097,"(41.883306, -87.630970)"
36,2416,100 N Clark St,42,32,Loop,2,41.883306,-87.63097,1,41.883306,-87.63097,"(41.883306, -87.630970)"
37,6086,100 N Riverside Plz,42,28,Near West Side,4,41.883322,-87.638644,1,41.883322,-87.638644,"(41.883322, -87.638644)"
38,2555,100 S Dearborn St,42,32,Loop,2,41.880652,-87.629441,1,41.880652,-87.629441,"(41.880652, -87.629441)"
39,3167,100 S Lake Shore Dr,42,32,Loop,4,41.88085,-87.61757,1,41.88085,-87.61757,"(41.880850, -87.617570)"
40,3401,100 S Michigan Ave,42,32,Loop,2,41.880788,-87.624512,1,41.880788,-87.624512,"(41.880788, -87.624512)"
41,3996,100 S Wabash Ave,42,32,Loop,1,41.880641,-87.62628,1,41.880641,-87.62628,"(41.880641, -87.626280)"
42,971,100 S Wacker Dr,2,32,Loop,1,41.880514,-87.637106,0,41.880514,-87.637106,"(41.880514, -87.637106)"
43,1537,100 W 87th St,21,44,Chatham,1,41.736354,-87.626741,1,41.736354,-87.626741,"(41.736354, -87.626741)"
44,1990,100 W Adams St,42,32,Loop,3,41.879484,-87.630868,1,41.879484,-87.630868,"(41.879484, -87.630868)"
45,2608,100 W Division St,42,8,Near North Side,6,41.903993,-87.631607,1,41.903993,-87.631607,"(41.903993, -87.631607)"
