,Indicator,Latitude,Longitude
0,parking,41.9812617462,-87.8868935846
1,parking,41.9805063933,-87.9039965667
2,parking,41.9785164187,-87.9010902125
3,parking,41.9756368821,-87.8887142786
4,parking,41.7882263483,-87.7399903644
5,parking,42.0293099091,-87.9351540909
6,parking,42.0284544714,-87.9328803571
7,place_of_worship,41.9222089133,-87.65390597
8,parking,41.9391049208,-87.6358654417
9,parking,41.9315971857,-87.6356454821
10,parking,41.9129218056,-87.6251117889
11,parking,41.8654412294,-87.6089280765
12,parking,41.93225032,-87.63557168
13,parking,41.9333389846,-87.6346730923
14,parking,41.9669008529,-87.6445334
15,parking,41.963758772,-87.639719004
16,parking,41.9267454455,-87.6332650182
17,parking,41.9250970286,-87.6327194
18,parking,41.92480575,-87.6348416812
19,parking,41.9195510718,-87.6310679282
20,parking,41.914311725,-87.6325862875
21,parking,41.83342804,-87.61286488
22,parking,41.8320270571,-87.6123734429
23,parking,41.8347801125,-87.6151623
24,parking,41.83697384,-87.6153068
25,parking,41.83304652,-87.63591278
26,parking,41.8317635667,-87.6339092
27,parking,41.8291260952,-87.6352144429
28,theatre,41.9270641778,-87.6307911111
29,parking,41.9403535286,-87.6459200714
30,parking,41.97681624,-87.6477918
31,parking,41.9506169308,-87.6416099538
32,parking,41.9237378294,-87.6721540824
33,parking,41.9258773385,-87.6733473
34,parking,41.9275180143,-87.673409
35,parking,41.9297433409,-87.6769930591
36,parking,41.9508818636,-87.8818244636
37,parking,41.9819761474,-87.8092855632
38,parking,41.9892140644,-87.8820833978
39,school,42.0240051421,-87.7730536421
40,school,42.0071437556,-87.7789908778
41,school,42.0081242286,-87.7775201143
42,parking,41.8919271,-87.6057924
43,parking,41.859367198,-87.615685744
44,parking,41.8565689829,-87.6143643805
45,parking,41.8264373429,-87.6353947429
46,parking,42.00887107,-87.76606758
47,parking,42.01140918,-87.76601244
48,parking,42.0087502222,-87.7633148222
49,parking,42.01234454,-87.77111682
50,planetarium,41.8663804361,-87.6066106417
51,parking,42.0138370429,-87.7717658
52,parking,42.00021336,-87.76710968
53,fast_food,42.01244486,-87.76221988
54,restaurant,42.0123180667,-87.77612985
55,parking,42.0114833,-87.77021614
56,restaurant,42.01227202,-87.76112122
57,parking,42.0130669462,-87.7590626769
58,college,42.0101017941,-87.7608688
59,school,42.0108652333,-87.7585132667
60,parking,42.00961669,-87.75910447
61,parking,41.8433078,-87.6120277091
62,parking,42.02441112,-87.71478416
63,fuel,42.01220328,-87.77390956
64,parking,41.7886443563,-87.5812956188
65,parking,41.7906209,-87.5804912391
66,parking,41.7904443,-87.584489955
67,parking,41.79212412,-87.5831933
68,parking,41.78151902,-87.5765586467
69,parking,41.7804066357,-87.5755407357
70,parking,41.7810858333,-87.58315995
71,parking,41.7780843133,-87.5787197533
72,hospital,41.7774322323,-87.5714533516
73,parking,41.8593158056,-87.6128607111
74,parking,41.8613088778,-87.6131269444
75,parking,41.8642848875,-87.6166983625
76,parking,41.8656613467,-87.6147684267
77,theatre,41.86332586,-87.608580385
78,parking,41.8654632111,-87.6129934667
79,parking,41.8633695273,-87.6094810727
80,place_of_worship,41.8883301556,-87.7968770311
81,parking,42.0204046818,-87.7491621636
82,parking,42.0221033333,-87.7505267111
83,college,42.0212949364,-87.7489177455
84,parking,42.02580446,-87.74847476
85,school,42.0238855375,-87.7531171
86,parking,42.0250152889,-87.7537177
87,university,41.924241116,-87.655128216
88,parking,41.9257527444,-87.6541018222
89,parking,41.924645775,-87.65332255
90,parking,42.025721881,-87.744979781
91,parking,42.0234710889,-87.7432096667
92,school,42.0298558,-87.76563728
93,parking,42.0306573,-87.7646558667
94,parking,42.0211972,-87.74575669
95,parking,42.0256107167,-87.7532515667
96,parking,42.02572952,-87.7725245
97,parking,42.02607914,-87.7702088
98,parking,42.02423548,-87.76982822
99,parking,42.0236310333,-87.7706532833
100,parking,42.02267325,-87.7523640667
101,library,42.0256521429,-87.7580189857
102,parking,42.0257431143,-87.7589812429
103,parking,42.0256758357,-87.7563396643
104,parking,42.0288017833,-87.7487704417
105,parking,42.0302393182,-87.7506736545
106,parking,42.02581858,-87.75462902
107,parking,42.00884652,-87.76436316
108,townhall,42.02594344,-87.75608941
109,post_office,42.0320810444,-87.7517608222
110,parking,42.0311641323,-87.867443871
111,grave_yard,41.9771151133,-87.7319084067
112,grave_yard,41.9862528222,-87.7311608889
113,grave_yard,41.9806600733,-87.73430264
114,parking,41.9685561545,-87.6433856727
115,school,42.0193354,-87.72767855
116,school,42.0268044833,-87.7269963583
117,school,42.0324126682,-87.7547318727
118,batting_cage,42.0317979,-87.91330026
119,parking,42.0335146471,-87.9133160647
120,university,41.9781978,-87.718732019
121,school,41.9848198,-87.7918374429
122,school,41.9721098429,-87.7561246714
123,school,41.98038862,-87.76664458
124,school,41.9640535833,-87.6918260667
125,school,41.9659447286,-87.7144832
126,school,41.9661557222,-87.7216056556
127,school,41.96390318,-87.7237251
128,school,41.9568832286,-87.6478297143
129,school,41.9550037167,-87.6841290833
130,school,41.9578995714,-87.7027322
131,school,41.95830938,-87.73374298
132,library,41.92481222,-87.65543463
133,parking,41.92263758,-87.65405786
134,parking,42.0123032714,-87.6994542429
135,bureau_de_change,42.01222204,-87.69954624
136,school,41.95131758,-87.66509408
137,school,41.9493297,-87.6865651
138,school,41.9531565,-87.6842473857
139,school,41.9450332889,-87.6909617444
140,school,41.95154328,-87.70602156
141,school,41.95069066,-87.71068416
142,school,41.9496071,-87.71698622
143,school,41.9427472714,-87.6571455143
144,school,41.9456717625,-87.6814387625
145,school,41.92299874,-87.65785406
146,parking,41.9231438048,-87.6674091476
147,parking,42.0204178857,-87.7508690143
148,parking,42.0326494333,-87.7546677222
149,university,41.877930916,-87.62622848
150,library,41.87620774,-87.62827386
151,school,41.8317083167,-87.6244776333
152,parking,41.8667370083,-87.6265525583
153,parking,41.88935952,-87.68818666
154,parking,41.86778885,-87.6497092333
155,parking,41.9299542,-87.68936135
156,school,42.026082,-87.6872464
157,parking,41.9269440875,-87.7816171875
158,parking,41.9243396222,-87.7821311815
159,hospital,41.9876059833,-87.8145158833
160,parking,41.9890248545,-87.8150882273
161,parking,41.98820226,-87.8159498
162,parking,41.9879234,-87.8125253444
163,parking,41.98691295,-87.8151355833
164,school,41.9220759545,-87.8311062818
165,school,42.0328604556,-87.7172736
166,parking,42.0086398222,-87.7121215444
167,parking,42.0082642542,-87.7128450583
168,restaurant,42.0114888143,-87.7125289429
169,restaurant,42.01101528,-87.71203256
170,parking,42.0114246167,-87.7125578056
171,parking,42.0105376071,-87.7119518786
172,parking,41.9549743875,-87.6529974563
173,school,41.9108031714,-87.6310323714
174,school,41.9104493,-87.62981046
175,parking,41.97608284,-87.72904228
176,grave_yard,41.8753059257,-87.8252269892
177,grave_yard,41.8550064207,-87.9103285138
178,grave_yard,41.8662973167,-87.9101161708
179,school,41.90190315,-87.6404049667
180,place_of_worship,41.90078541,-87.64377586
181,hospital,41.9366833625,-87.6513679687
182,school,41.8591815091,-87.6570313545
183,school,41.85905802,-87.65737488
184,library,41.9625814292,-87.6842500208
185,parking,41.9588377385,-87.6828580308
186,hospital,41.9034348,-87.68362928
187,school,41.9255794842,-87.8884312842
188,school,41.9297136143,-87.8863180429
189,school,41.92958942,-87.8850605
190,school,41.9272198722,-87.9067199333
191,school,41.92836666,-87.9075415
192,grave_yard,41.92365892,-87.90802965
193,school,41.91899256,-87.89799094
194,school,41.9204064692,-87.8756984769
195,bank,41.95391004,-87.67826798
196,pharmacy,41.955635,-87.6793668
197,parking,41.955802,-87.6794758143
198,pub,41.9488770889,-87.6541256222
199,parking,41.9492710857,-87.6572138143
200,parking,41.9500514,-87.6754605462
201,parking,41.929222475,-87.6545237
202,parking,41.9211922111,-87.6656915
203,pharmacy,41.91146246,-87.6342499
204,school,41.93950674,-87.7532609
205,parking,41.9774351143,-87.6921596429
206,arts_centre,41.96937232,-87.65807982
207,parking,42.0191575,-87.73768648
208,parking,41.8373493618,-87.8350528618
209,parking,41.8346270842,-87.8310731632
210,parking,41.8302472684,-87.8331162737
211,fast_food,41.83218802,-87.83780778
212,parking,41.96162348,-87.67937808
213,fountain,41.8326510531,-87.8334339312
214,parking,41.9792723048,-87.7195652476
215,parking,41.9811423824,-87.7203195412
216,parking,41.9823865,-87.7200657417
217,grave_yard,41.9861097,-87.8498954
218,school,42.0010364688,-87.8543735656
219,place_of_worship,41.85655752,-87.6592414
220,place_of_worship,41.8558219474,-87.6656464526
221,school,41.8516958333,-87.6727267778
222,place_of_worship,41.7981816765,-87.8671604647
223,parking,42.0186731522,-87.6752871261
224,school,42.01870782,-87.75857456
225,parking,41.9877245667,-87.7001886889
226,hospital,42.0243397545,-87.6830328545
227,parking,42.0238294429,-87.6833354286
228,parking,42.0247989091,-87.6820413182
229,parking,42.0257336889,-87.6833497889
230,school,42.0260597733,-87.6933520933
231,school,41.77485492,-87.70932494
232,school,41.78393068,-87.68813794
233,school,41.78724752,-87.70776758
234,school,41.79836958,-87.705641
235,school,41.80162102,-87.68620422
236,school,41.79721998,-87.66903518
237,school,41.77502716,-87.6696845
238,restaurant,41.9975462,-87.7152508714
239,parking,42.0072491939,-87.7166101152
240,place_of_worship,42.02289342,-87.75234672
241,parking,42.0198984273,-87.7467657545
242,place_of_worship,42.0079706667,-87.7774253667
243,school,42.0081116091,-87.7779702727
244,school,42.0108296615,-87.7607274538
245,college,42.010563,-87.7594695375
246,school,42.0089378818,-87.7584662182
247,school,41.69624142,-87.70544128
248,school,41.9036851,-87.85896018
249,grave_yard,41.98056224,-87.7960251133
250,grave_yard,41.9483430182,-87.8237845909
251,parking,41.8806810231,-87.6773198692
252,parking,41.85140794,-87.78428844
253,parking,41.8514157,-87.78305104
254,parking,41.85143624,-87.78183744
255,parking,41.85145544,-87.78059916
256,parking,41.8514702,-87.77939324
257,parking,41.85150002,-87.77812754
258,parking,41.85151542,-87.77691864
259,parking,41.85153144,-87.77567388
260,parking,41.85154764,-87.77446696
261,parking,41.85156244,-87.77322514
262,parking,41.8515927,-87.77201288
263,parking,41.8516002,-87.7707659
264,parking,41.85162248,-87.76954684
265,parking,41.8516374,-87.76831454
266,parking,41.85165764,-87.76709094
267,parking,41.85167328,-87.76584984
268,parking,41.85169,-87.7646332
269,parking,41.85137994,-87.78550904
270,parking,41.85135424,-87.78672324
271,parking,41.85133574,-87.78797024
272,parking,41.85132674,-87.78917924
273,parking,41.85130804,-87.79040394
274,parking,41.85128694,-87.79162174
275,parking,41.85127104,-87.79283744
276,parking,41.85125194,-87.79407274
277,parking,41.85107358,-87.80311432
278,library,42.026905504,-87.801108596
279,school,41.73130632,-87.55349812
280,school,41.7330834143,-87.5450803571
281,school,41.90696708,-87.75414384
282,school,41.9172615375,-87.7818601
283,school,41.7911716533,-87.68958512
284,school,41.78062434,-87.69170032
285,school,41.7988497143,-87.6897363286
286,school,41.78442912,-87.64805438
287,school,41.792696,-87.6406838667
288,parking,42.0257315,-87.75392124
289,school,41.92521808,-87.7703734
290,parking,42.02903064,-87.75198578
291,school,41.7895158636,-87.7799143182
292,university,41.9244083909,-87.6494422727
293,fast_food,41.9469458667,-87.6573481333
294,parking,41.94663136,-87.65718378
295,parking,41.9468979286,-87.6574979
296,parking,41.9491899333,-87.6578162833
297,school,41.84489198,-87.78165834
298,grave_yard,41.8127263438,-87.7900181625
299,school,41.81710196,-87.78694522
300,grave_yard,42.0343649571,-87.8289442357
301,school,41.9291971222,-87.7190539111
302,school,41.9191493,-87.7474295429
303,parking,41.9193113143,-87.7468504
304,parking,42.02603858,-87.74906286
305,restaurant,42.0267681,-87.7067804
306,parking,42.026690165,-87.706670855
307,parking,42.027128815,-87.70594502
308,school,41.9575392,-87.77103056
309,school,41.95729638,-87.76075288
310,school,41.9617484,-87.67360238
311,parking,42.02055628,-87.70929336
312,parking,42.0199904273,-87.7063493545
313,grave_yard,41.7209717211,-87.8820875368
314,parking,41.9682162833,-87.7119892833
315,parking,42.0048466412,-87.8888114882
316,school,41.9892291222,-87.6670254778
317,parking,41.9213584111,-87.6648872333
318,parking,41.9687252444,-87.6572689333
319,parking,41.7357994617,-87.7044120553
320,parking,41.97117778,-87.6795934
321,parking,42.022697,-87.76875222
322,parking,42.02312164,-87.76793684
323,parking,42.0234320333,-87.7686870222
324,parking,42.021544304,-87.768404928
325,parking,42.0195349429,-87.7661183
326,restaurant,41.9606474833,-87.68359725
327,parking,41.93222274,-87.71142874
328,fast_food,41.92853168,-87.67334058
329,parking,41.9137253286,-87.6540448571
330,parking,41.9118665818,-87.6539203
331,parking,41.9129878417,-87.6537502667
332,parking,41.9132574,-87.65496804
333,toilets,41.88989035,-87.79563447
334,public_building,42.0275581238,-87.7168175
335,parking,42.02707204,-87.71603612
336,bank,42.02647612,-87.73804758
337,parking,42.02650724,-87.74308268
338,parking,41.9272269,-87.6773960444
339,parking,41.9299408875,-87.683308375
340,parking,41.9293388286,-87.6852886714
341,parking,41.92774006,-87.683088785
342,parking,41.8679302917,-87.6461604583
343,bus_station,41.87490558,-87.64323506
344,parking,42.0270411632,-87.8011832421
345,parking,42.01571746,-87.74578912
346,parking,42.01646226,-87.7462801
347,parking,42.0265928833,-87.7562954
348,parking,42.005621425,-87.712252025
349,cafe,42.01923938,-87.69052806
350,school,41.87225484,-87.84694388
351,school,41.8721156182,-87.8624698
352,parking,41.8722361417,-87.8626661583
353,school,41.9392703,-87.7748680111
354,parking,41.92504658,-87.66231726
355,parking,41.92505264,-87.66185008
356,school,41.84901678,-87.74774348
357,parking,42.031739375,-87.9125757875
358,parking,42.02015534,-87.9048472
359,parking,42.0210404444,-87.9049731556
360,parking,42.02223826,-87.90485
361,parking,42.01871385,-87.9324062
362,bank,42.0089917818,-87.8874052
363,fast_food,42.0078911,-87.88570774
364,restaurant,42.0087412857,-87.8861615143
365,restaurant,42.00867174,-87.88712246
366,parking,42.00683752,-87.88600128
367,parking,42.00871446,-87.88758336
368,parking,42.00929868,-87.88740848
369,parking,42.0065586,-87.8885840857
370,parking,42.0061629143,-87.8870834143
371,parking,42.0017831,-87.85177176
372,parking,42.0006200714,-87.8517124286
373,parking,42.0017097167,-87.8536899333
374,parking,41.9981560571,-87.8547185714
375,theatre,41.9762172308,-87.8643386
376,parking,41.9760022893,-87.8647690036
377,post_office,42.02435822,-87.89947702
378,pharmacy,41.9355642167,-87.6701316333
379,parking,41.9350975,-87.6691721571
380,parking,41.9365417222,-87.6692033111
381,parking,41.9361998,-87.67051392
382,fast_food,41.9335656429,-87.6689318238
383,parking,41.8816798545,-87.6749142455
384,parking,41.88269116,-87.67319554
385,parking,41.88248796,-87.67548076
386,parking,41.8819362,-87.67108096
387,parking,41.8806464857,-87.6709276286
388,parking,41.8796683545,-87.6745537091
389,parking,41.88092418,-87.66963454
390,parking,41.88039214,-87.66962572
391,parking,41.88166752,-87.6696847
392,parking,41.8781589316,-87.6706990737
393,parking,41.87910772,-87.67069788
394,parking,41.87971208,-87.67098168
395,parking,41.87982052,-87.66972166
