,SYSTEMSTOP,OBJECTID,the_geom,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,Longitude,Latitude
0,11953,193,POINT (-87.54862703700002 41.72818418100002),92ND STREET,BALTIMORE,EB,NS,95,,CHICAGO,1,92nd Street & Baltimore,-87.54862704,41.72818418
1,2723,194,POINT (-87.737227163 41.749111071000016),79TH STREET,KILPATRICK (east leg),EB,NS,79,,CHICAGO,1,79th Street & Kilpatrick,-87.73722716,41.74911107
2,1307,195,POINT (-87.74397362600001 41.924143016000016),FULLERTON,KILPATRICK,EB,NS,74,,CHICAGO,1,Fullerton & Kilpatrick,-87.74397363,41.92414302
3,6696,196,POINT (-87.65929365400001 41.86931424800002),TAYLOR,THROOP,EB,NS,157,,CHICAGO,1,Taylor & Throop,-87.65929365,41.86931425
4,22,197,POINT (-87.72780787099998 41.877006596),JACKSON,KARLOV,EB,FS,126,,CHICAGO,1,Jackson & Karlov,-87.72780787,41.8770066
5,4767,198,POINT (-87.71978000000001 41.975526),FOSTER,MONTICELLO,EB,NS,92,,CHICAGO,1,Foster & Monticello,-87.71978,41.975526
6,6057,199,POINT (-87.66617293000002 41.85248367600002),ASHLAND,CERMAK/BLUE ISLAND,SB,NS,"9,X9",N9,CHICAGO,1,Ashland & Cermak/Blue Island,-87.66617293,41.85248368
7,1790,200,POINT (-87.671980647 42.001785039000026),CLARK,ALBION,SB,NS,22,N22,CHICAGO,1,Clark & Albion,-87.67198065,42.00178504
8,1847,201,POINT (-87.63171899999998 41.90949699999999),CLARK,BURTON,SB,NS,"22,36",N22,CHICAGO,1,Clark & Burton,-87.631719,41.909497
9,11474,202,POINT (-87.66044699999998 41.98393199999998),RIDGE,BROADWAY/BRYN MAWR,NWB,FS,84,,CHICAGO,1,Ridge & Broadway/Bryn Mawr,-87.660447,41.983932
10,1368,203,POINT (-87.69257800100002 41.977712999999994),LINCOLN,BERWYN,SEB,NS,11,,CHICAGO,1,Lincoln & Berwyn,-87.692578,41.977713
11,11877,204,POINT (-87.69972826999998 41.99764619000001),CALIFORNIA,DEVON,SB,NS,93,,CHICAGO,1,California & Devon,-87.69972827,41.99764619
12,3718,205,POINT (-87.64227928499997 41.685192786000016),HALSTED,115TH STREET,SB,NS,"8A,108",,CHICAGO,1,Halsted & 115th Street,-87.64227929,41.68519279
13,5173,206,POINT (-87.65469488100001 41.785137358999975),RACINE,60TH STREET,SB,NS,44,,CHICAGO,1,Racine & 60th Street,-87.65469488,41.78513736
14,5182,207,POINT (-87.65434200499999 41.77057755999999),RACINE,68TH STREET,SB,NS,44,,CHICAGO,1,Racine & 68th Street,-87.65434201,41.77057756
15,7543,208,POINT (-87.620863816 41.694504600000016),MICHIGAN,110TH STREET,SB,NS,"34,119",N34,CHICAGO,1,Michigan & 110th Street,-87.62086382,41.6945046
16,10235,209,POINT (-87.74591000100003 41.89693600099997),CICERO,IOWA,SB,NS,54,,CHICAGO,1,Cicero & Iowa,-87.74591,41.896936
17,4525,210,POINT (-87.76464595300001 41.79544107800001),ARCHER,MAJOR (west leg),SWB,NS,"62,62H",,CHICAGO,1,Archer & Major,-87.76464595,41.79544108
18,5368,211,POINT (-87.64431033699998 41.934928292999984),BROADWAY,SURF (north leg),SB,NS,36,,CHICAGO,1,Broadway & Surf,-87.64431034,41.93492829
