,ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
0,11,Jeffery Blvd & 71st St,Jeffery Blvd & 71st St,11,11,In Service,41.766638237,-87.576450114,"(41.76663823695, -87.5764501141)"
1,661,Evanston Civic Center,Evanston Civic Center,15,15,In Service,42.057044,-87.686554,"(42.057044, -87.686554)"
2,662,Dodge Ave & Mulford St,Dodge Ave & Mulford St,15,15,In Service,42.023463,-87.699595,"(42.023463, -87.699595)"
3,659,Leavitt St & Chicago Ave,Leavitt St & Chicago Ave,11,11,In Service,41.895501,-87.682017,"(41.895501, -87.682017)"
4,2,Buckingham Fountain,Buckingham Fountain,39,38,In Service,41.87647,-87.62034,"(41.87647, -87.62034)"
5,106,State St & Pearson St,State St & Pearson St,27,25,In Service,41.897448,-87.628722,"(41.897448, -87.628722)"
6,657,Wood St & Augusta Blvd,Wood St & Augusta Blvd,11,11,In Service,41.899181,-87.6722,"(41.899181, -87.6722)"
7,246,Ashland Ave & Belle Plaine Ave,Ashland Ave & Belle Plaine Ave,11,11,In Service,41.956057,-87.668835,"(41.956057, -87.668835)"
8,514,Ridge Blvd & Howard St,Ridge Blvd & Howard St,11,11,In Service,42.019276,-87.68452,"(42.019276, -87.68452)"
9,366,Loomis St & Archer Ave,Loomis St & Archer Ave,11,11,In Service,41.84163254,-87.657434953,"(41.84163253965, -87.6574349533)"
10,556,Throop St & 52nd St,Throop St & 52nd St,7,7,In Service,41.799659,-87.657195,"(41.799659, -87.657195)"
11,193,State St & 29th St,State St & 29th St,11,11,In Service,41.841707,-87.626938,"(41.841707, -87.626938)"
12,398,Rainbow Beach,Rainbow Beach,15,15,In Service,41.757871448,-87.54938625,"(41.75787144829, -87.54938625)"
13,626,Delano Ct & Roosevelt Rd,Delano Ct & Roosevelt Rd,19,19,In Service,41.867491,-87.63219,"(41.867491, -87.63219)"
14,392,Perry Ave & 69th St,Perry Ave & 69th St,11,11,In Service,41.76929309,-87.628195929,"(41.76929308995, -87.6281959291)"
15,14,Morgan St & 18th St,962 W. 18th St,15,14,In Service,41.858086,-87.651073,"(41.858086, -87.651073)"
16,625,Chicago Ave & Dempster St,Chicago Ave & Dempster St,15,15,In Service,42.041691,-87.680687,"(42.041691, -87.680687)"
17,532,Austin Blvd & Lake St,Austin Blvd & Lake St,11,10,In Service,41.887919,-87.774446,"(41.887919, -87.774446)"
18,622,California Ave & Cortez St,California Ave & Cortez St,15,15,In Service,41.900363,-87.696704,"(41.900363, -87.696704)"
19,59,Wabash Ave & Roosevelt Rd,1210 S Wabash Ave,23,23,In Service,41.867227,-87.625961,"(41.867227, -87.625961)"
20,621,Aberdeen St & Randolph St,Aberdeen St & Randolph St,15,15,In Service,41.884114,-87.654264,"(41.884114, -87.654264)"
21,97,Field Museum,Off Street,55,54,In Service,41.865312,-87.617867,"(41.865312, -87.617867)"
22,624,Dearborn St & Van Buren St (*),417 S Dearborn St,16,15,In Service,41.876268,-87.629155,"(41.876268, -87.629155)"
23,663,Lincolnwood Dr & Central St,Lincolnwood Dr & Central St,15,13,In Service,42.064854,-87.715297,"(42.064854, -87.715297)"
24,319,Greenview Ave & Diversey Pkwy,Greenview Ave & Diversey Pkwy,15,14,In Service,41.932595,-87.665939,"(41.932595, -87.665939)"
25,32,Racine Ave & Congress Pkwy,550 S. Racine,19,19,In Service,41.87464,-87.65703,"(41.87464, -87.65703)"
26,435,Kedzie Ave & Roosevelt Rd,Kedzie Ave & Roosevelt Rd,11,10,In Service,41.866492782,-87.706496176,"(41.86649278172, -87.7064961757)"
27,627,LaSalle Dr & Huron St (*),LaSalle Dr & Huron St(*),19,17,In Service,41.894877,-87.632326,"(41.894877, -87.632326)"
