,name,MultiGeometry/Point/coordinates,Latitude,Longitude
0,Stony Island,"-87.586850,41.766010,0.000000",41.76601,-87.58685
1,Bryn Mawr,"-87.576997,41.766115,0.000000",41.766115,-87.576997
2,South Shore,"-87.565714,41.765243,0.000000",41.765243,-87.565714
3,Windsor Park,"-87.559629,41.758508,0.000000",41.758508,-87.559629
4,Cheltenham,"-87.552852,41.752321,0.000000",41.752321,-87.552852
5,83rd St.,"-87.551556,41.745013,0.000000",41.745013,-87.551556
6,87th St.,"-87.548168,41.737748,0.000000",41.737748,-87.548168
7,91st St.,"-87.547785,41.727437,0.000000",41.727437,-87.547785
8,Hegewisch,"-87.546236,41.648272,0.000000",41.648272,-87.546236
9,State St.,"-87.621606,41.674434,0.000000",41.674434,-87.621606
10,Stewart Ridge,"-87.631611,41.674323,0.000000",41.674323,-87.631611
11,West Pullman,"-87.642247,41.674215,0.000000",41.674215,-87.642247
12,Racine Ave.,"-87.652157,41.674114,0.000000",41.674114,-87.652157
13,Ashland Ave.,"-87.660623,41.669434,0.000000",41.669434,-87.660623
14,Burr Oak,"-87.668787,41.662326,0.000000",41.662326,-87.668787
15,Blue Island,"-87.676126,41.655696,0.000000",41.655696,-87.676126
16,Millenium Station,"-87.623087,41.884366,0.000000",41.884366,-87.623087
17,Van Buren St.,"-87.622812,41.876998,0.000000",41.876998,-87.622812
18,Museum Campus,"-87.621420,41.868392,0.000000",41.868392,-87.62142
19,18th St.,"-87.618034,41.857731,0.000000",41.857731,-87.618034
20,McCormick Place,"-87.616142,41.850942,0.000000",41.850942,-87.616142
21,27th St.,"-87.613436,41.844263,0.000000",41.844263,-87.613436
22,47th St.,"-87.590850,41.809525,0.000000",41.809525,-87.59085
23,53rd St.,"-87.586787,41.799917,0.000000",41.799917,-87.586787
24,55th-56th-57th St.,"-87.587498,41.792842,0.000000",41.792842,-87.587498
25,59th St.,"-87.588766,41.787003,0.000000",41.787003,-87.588766
26,63rd St.,"-87.590404,41.779883,0.000000",41.779883,-87.590404
27,75th St.,"-87.595159,41.758912,0.000000",41.758912,-87.595159
28,79th St.,"-87.596987,41.750827,0.000000",41.750827,-87.596987
29,83rd St.,"-87.598333,41.744317,0.000000",41.744317,-87.598333
30,87th St.,"-87.599952,41.737415,0.000000",41.737415,-87.599952
31,91st St.,"-87.601754,41.729752,0.000000",41.729752,-87.601754
32,95th St.,"-87.603675,41.721417,0.000000",41.721417,-87.603675
33,103rd St.,"-87.607007,41.706967,0.000000",41.706967,-87.607007
34,107th St.,"-87.608658,41.699840,0.000000",41.69984,-87.608658
35,111th St.,"-87.610215,41.693097,0.000000",41.693097,-87.610215
36,Kensington,"-87.611834,41.686030,0.000000",41.68603,-87.611834
37,Riverdale,"-87.623295,41.646329,0.000000",41.646329,-87.623295
38,Ivanhoe,"-87.630069,41.633745,0.000000",41.633745,-87.630069
39,147th St.,"-87.635940,41.623006,0.000000",41.623006,-87.63594
40,Harvey,"-87.643535,41.608927,0.000000",41.608927,-87.643535
41,Hazel Crest,"-87.658505,41.580838,0.000000",41.580838,-87.658505
42,Calumet,"-87.662830,41.572739,0.000000",41.572739,-87.66283
43,Homewood,"-87.668355,41.562373,0.000000",41.562373,-87.668355
44,Flossmoor,"-87.678520,41.543301,0.000000",41.543301,-87.67852
45,Olympia Fields,"-87.690411,41.521043,0.000000",41.521043,-87.690411
46,211th St.,"-87.698116,41.506438,0.000000",41.506438,-87.698116
47,Matteson,"-87.701911,41.498677,0.000000",41.498677,-87.701911
48,Richton Park,"-87.708984,41.485592,0.000000",41.485592,-87.708984
49,University Park,"-87.723319,41.458961,0.000000",41.458961,-87.723319
50,LaSalle St.,"-87.632137,41.875048,0.000000",41.875048,-87.632137
51,Gresham,"-87.644613,41.736643,0.000000",41.736643,-87.644613
52,Longwood,"-87.650555,41.720709,0.000000",41.720709,-87.650555
53,Washington Heights,"-87.656107,41.705583,0.000000",41.705583,-87.656107
55,Robbins,"-87.694556,41.640772,0.000000",41.640772,-87.694556
56,Midlothian,"-87.712407,41.625981,0.000000",41.625981,-87.712407
57,Oak Forest,"-87.738189,41.604636,0.000000",41.604636,-87.738189
58,Tinley Park,"-87.783577,41.575611,0.000000",41.575611,-87.783577
59,80th Ave.,"-87.809540,41.564381,0.000000",41.564381,-87.80954
60,Hickory Creek,"-87.847623,41.547971,0.000000",41.547971,-87.847623
61,Mokena,"-87.886917,41.530962,0.000000",41.530962,-87.886917
62,New Lenox,"-87.965230,41.514561,0.000000",41.514561,-87.96523
63,Brainerd,"-87.657558,41.732240,0.000000",41.73224,-87.657558
64,91st St.,"-87.667211,41.727979,0.000000",41.727979,-87.667211
65,95th St.,"-87.667548,41.721536,0.000000",41.721536,-87.667548
66,99th St.,"-87.667287,41.713635,0.000000",41.713635,-87.667287
67,103rd St.,"-87.668905,41.706216,0.000000",41.706216,-87.668905
68,107th St.,"-87.669755,41.698918,0.000000",41.698918,-87.669755
69,111th St.,"-87.670495,41.692762,0.000000",41.692762,-87.670495
70,115th St.,"-87.671457,41.684993,0.000000",41.684993,-87.671457
71,119th St.,"-87.672580,41.676372,0.000000",41.676372,-87.67258
72,123rd St.,"-87.673624,41.670288,0.000000",41.670288,-87.673624
73,Prairie St.,"-87.675103,41.662263,0.000000",41.662263,-87.675103
75,Wrightwood,"-87.701461,41.750080,0.000000",41.75008,-87.701461
76,Ashburn,"-87.712519,41.741815,0.000000",41.741815,-87.712519
77,Oak Lawn,"-87.749150,41.719397,0.000000",41.719397,-87.74915
78,Chicago Ridge,"-87.779779,41.703949,0.000000",41.703949,-87.779779
79,Worth,"-87.795689,41.691654,0.000000",41.691654,-87.795689
80,Palos Park,"-87.820906,41.668479,0.000000",41.668479,-87.820906
81,143rd St.,"-87.859574,41.630653,0.000000",41.630653,-87.859574
82,153rd St.,"-87.873675,41.609572,0.000000",41.609572,-87.873675
83,179th St.,"-87.902820,41.563663,0.000000",41.563663,-87.90282
84,Summit,"-87.809921,41.794969,0.000000",41.794969,-87.809921
85,Willow Springs,"-87.878483,41.733257,0.000000",41.733257,-87.878483
86,Lemont,"-88.003663,41.673685,0.000000",41.673685,-88.003663
87,Lockport,"-88.060310,41.585384,0.000000",41.585384,-88.06031
88,Halsted St.,"-87.647248,41.860255,0.000000",41.860255,-87.647248
89,Western Ave.,"-87.684969,41.857569,0.000000",41.857569,-87.684969
90,Cicero,"-87.745173,41.844162,0.000000",41.844162,-87.745173
91,LaVergne,"-87.783463,41.835499,0.000000",41.835499,-87.783463
92,Berwyn,"-87.793286,41.833288,0.000000",41.833288,-87.793286
93,Harlem Ave.,"-87.801900,41.831340,0.000000",41.83134,-87.8019
94,Riverside,"-87.820235,41.827206,0.000000",41.827206,-87.820235
