,Indicator,Latitude,Longitude
0,parking,41.9812617462,-87.8868935846
1,parking,41.9805063933,-87.9039965667
2,parking,41.9785164187,-87.9010902125
3,parking,41.9756368821,-87.8887142786
4,parking,41.7882263483,-87.7399903644
5,parking,42.0293099091,-87.9351540909
6,parking,42.0284544714,-87.9328803571
8,parking,41.9391049208,-87.6358654417
9,parking,41.9315971857,-87.6356454821
10,parking,41.9129218056,-87.6251117889
11,parking,41.8654412294,-87.6089280765
12,parking,41.93225032,-87.63557168
13,parking,41.9333389846,-87.6346730923
14,parking,41.9669008529,-87.6445334
15,parking,41.963758772,-87.639719004
16,parking,41.9267454455,-87.6332650182
17,parking,41.9250970286,-87.6327194
18,parking,41.92480575,-87.6348416812
19,parking,41.9195510718,-87.6310679282
20,parking,41.914311725,-87.6325862875
21,parking,41.83342804,-87.61286488
22,parking,41.8320270571,-87.6123734429
23,parking,41.8347801125,-87.6151623
24,parking,41.83697384,-87.6153068
25,parking,41.83304652,-87.63591278
26,parking,41.8317635667,-87.6339092
27,parking,41.8291260952,-87.6352144429
29,parking,41.9403535286,-87.6459200714
30,parking,41.97681624,-87.6477918
31,parking,41.9506169308,-87.6416099538
32,parking,41.9237378294,-87.6721540824
33,parking,41.9258773385,-87.6733473
34,parking,41.9275180143,-87.673409
35,parking,41.9297433409,-87.6769930591
36,parking,41.9508818636,-87.8818244636
37,parking,41.9819761474,-87.8092855632
38,parking,41.9892140644,-87.8820833978
42,parking,41.8919271,-87.6057924
43,parking,41.859367198,-87.615685744
44,parking,41.8565689829,-87.6143643805
45,parking,41.8264373429,-87.6353947429
46,parking,42.00887107,-87.76606758
47,parking,42.01140918,-87.76601244
48,parking,42.0087502222,-87.7633148222
49,parking,42.01234454,-87.77111682
51,parking,42.0138370429,-87.7717658
52,parking,42.00021336,-87.76710968
55,parking,42.0114833,-87.77021614
57,parking,42.0130669462,-87.7590626769
60,parking,42.00961669,-87.75910447
61,parking,41.8433078,-87.6120277091
62,parking,42.02441112,-87.71478416
64,parking,41.7886443563,-87.5812956188
65,parking,41.7906209,-87.5804912391
66,parking,41.7904443,-87.584489955
67,parking,41.79212412,-87.5831933
68,parking,41.78151902,-87.5765586467
69,parking,41.7804066357,-87.5755407357
70,parking,41.7810858333,-87.58315995
71,parking,41.7780843133,-87.5787197533
73,parking,41.8593158056,-87.6128607111
74,parking,41.8613088778,-87.6131269444
75,parking,41.8642848875,-87.6166983625
76,parking,41.8656613467,-87.6147684267
78,parking,41.8654632111,-87.6129934667
79,parking,41.8633695273,-87.6094810727
81,parking,42.0204046818,-87.7491621636
82,parking,42.0221033333,-87.7505267111
84,parking,42.02580446,-87.74847476
86,parking,42.0250152889,-87.7537177
88,parking,41.9257527444,-87.6541018222
89,parking,41.924645775,-87.65332255
90,parking,42.025721881,-87.744979781
91,parking,42.0234710889,-87.7432096667
93,parking,42.0306573,-87.7646558667
94,parking,42.0211972,-87.74575669
95,parking,42.0256107167,-87.7532515667
96,parking,42.02572952,-87.7725245
97,parking,42.02607914,-87.7702088
98,parking,42.02423548,-87.76982822
99,parking,42.0236310333,-87.7706532833
100,parking,42.02267325,-87.7523640667
102,parking,42.0257431143,-87.7589812429
103,parking,42.0256758357,-87.7563396643
104,parking,42.0288017833,-87.7487704417
105,parking,42.0302393182,-87.7506736545
106,parking,42.02581858,-87.75462902
107,parking,42.00884652,-87.76436316
110,parking,42.0311641323,-87.867443871
114,parking,41.9685561545,-87.6433856727
119,parking,42.0335146471,-87.9133160647
133,parking,41.92263758,-87.65405786
134,parking,42.0123032714,-87.6994542429
146,parking,41.9231438048,-87.6674091476
147,parking,42.0204178857,-87.7508690143
148,parking,42.0326494333,-87.7546677222
152,parking,41.8667370083,-87.6265525583
153,parking,41.88935952,-87.68818666
154,parking,41.86778885,-87.6497092333
155,parking,41.9299542,-87.68936135
157,parking,41.9269440875,-87.7816171875
158,parking,41.9243396222,-87.7821311815
160,parking,41.9890248545,-87.8150882273
161,parking,41.98820226,-87.8159498
162,parking,41.9879234,-87.8125253444
163,parking,41.98691295,-87.8151355833
166,parking,42.0086398222,-87.7121215444
167,parking,42.0082642542,-87.7128450583
170,parking,42.0114246167,-87.7125578056
171,parking,42.0105376071,-87.7119518786
172,parking,41.9549743875,-87.6529974563
175,parking,41.97608284,-87.72904228
185,parking,41.9588377385,-87.6828580308
197,parking,41.955802,-87.6794758143
199,parking,41.9492710857,-87.6572138143
200,parking,41.9500514,-87.6754605462
201,parking,41.929222475,-87.6545237
202,parking,41.9211922111,-87.6656915
205,parking,41.9774351143,-87.6921596429
207,parking,42.0191575,-87.73768648
208,parking,41.8373493618,-87.8350528618
209,parking,41.8346270842,-87.8310731632
210,parking,41.8302472684,-87.8331162737
212,parking,41.96162348,-87.67937808
214,parking,41.9792723048,-87.7195652476
215,parking,41.9811423824,-87.7203195412
216,parking,41.9823865,-87.7200657417
223,parking,42.0186731522,-87.6752871261
225,parking,41.9877245667,-87.7001886889
227,parking,42.0238294429,-87.6833354286
228,parking,42.0247989091,-87.6820413182
229,parking,42.0257336889,-87.6833497889
239,parking,42.0072491939,-87.7166101152
241,parking,42.0198984273,-87.7467657545
251,parking,41.8806810231,-87.6773198692
252,parking,41.85140794,-87.78428844
253,parking,41.8514157,-87.78305104
254,parking,41.85143624,-87.78183744
255,parking,41.85145544,-87.78059916
256,parking,41.8514702,-87.77939324
257,parking,41.85150002,-87.77812754
258,parking,41.85151542,-87.77691864
259,parking,41.85153144,-87.77567388
260,parking,41.85154764,-87.77446696
261,parking,41.85156244,-87.77322514
262,parking,41.8515927,-87.77201288
263,parking,41.8516002,-87.7707659
264,parking,41.85162248,-87.76954684
265,parking,41.8516374,-87.76831454
266,parking,41.85165764,-87.76709094
267,parking,41.85167328,-87.76584984
268,parking,41.85169,-87.7646332
269,parking,41.85137994,-87.78550904
270,parking,41.85135424,-87.78672324
271,parking,41.85133574,-87.78797024
272,parking,41.85132674,-87.78917924
273,parking,41.85130804,-87.79040394
274,parking,41.85128694,-87.79162174
275,parking,41.85127104,-87.79283744
276,parking,41.85125194,-87.79407274
277,parking,41.85107358,-87.80311432
288,parking,42.0257315,-87.75392124
290,parking,42.02903064,-87.75198578
294,parking,41.94663136,-87.65718378
295,parking,41.9468979286,-87.6574979
296,parking,41.9491899333,-87.6578162833
303,parking,41.9193113143,-87.7468504
304,parking,42.02603858,-87.74906286
306,parking,42.026690165,-87.706670855
307,parking,42.027128815,-87.70594502
311,parking,42.02055628,-87.70929336
312,parking,42.0199904273,-87.7063493545
314,parking,41.9682162833,-87.7119892833
315,parking,42.0048466412,-87.8888114882
317,parking,41.9213584111,-87.6648872333
318,parking,41.9687252444,-87.6572689333
319,parking,41.7357994617,-87.7044120553
320,parking,41.97117778,-87.6795934
321,parking,42.022697,-87.76875222
322,parking,42.02312164,-87.76793684
323,parking,42.0234320333,-87.7686870222
324,parking,42.021544304,-87.768404928
325,parking,42.0195349429,-87.7661183
327,parking,41.93222274,-87.71142874
329,parking,41.9137253286,-87.6540448571
330,parking,41.9118665818,-87.6539203
331,parking,41.9129878417,-87.6537502667
332,parking,41.9132574,-87.65496804
335,parking,42.02707204,-87.71603612
337,parking,42.02650724,-87.74308268
338,parking,41.9272269,-87.6773960444
339,parking,41.9299408875,-87.683308375
340,parking,41.9293388286,-87.6852886714
341,parking,41.92774006,-87.683088785
342,parking,41.8679302917,-87.6461604583
343,bus_station,41.87490558,-87.64323506
344,parking,42.0270411632,-87.8011832421
345,parking,42.01571746,-87.74578912
346,parking,42.01646226,-87.7462801
347,parking,42.0265928833,-87.7562954
348,parking,42.005621425,-87.712252025
352,parking,41.8722361417,-87.8626661583
354,parking,41.92504658,-87.66231726
355,parking,41.92505264,-87.66185008
357,parking,42.031739375,-87.9125757875
358,parking,42.02015534,-87.9048472
359,parking,42.0210404444,-87.9049731556
360,parking,42.02223826,-87.90485
361,parking,42.01871385,-87.9324062
366,parking,42.00683752,-87.88600128
367,parking,42.00871446,-87.88758336
368,parking,42.00929868,-87.88740848
369,parking,42.0065586,-87.8885840857
370,parking,42.0061629143,-87.8870834143
371,parking,42.0017831,-87.85177176
372,parking,42.0006200714,-87.8517124286
373,parking,42.0017097167,-87.8536899333
374,parking,41.9981560571,-87.8547185714
376,parking,41.9760022893,-87.8647690036
379,parking,41.9350975,-87.6691721571
380,parking,41.9365417222,-87.6692033111
381,parking,41.9361998,-87.67051392
383,parking,41.8816798545,-87.6749142455
384,parking,41.88269116,-87.67319554
385,parking,41.88248796,-87.67548076
386,parking,41.8819362,-87.67108096
387,parking,41.8806464857,-87.6709276286
388,parking,41.8796683545,-87.6745537091
389,parking,41.88092418,-87.66963454
390,parking,41.88039214,-87.66962572
391,parking,41.88166752,-87.6696847
392,parking,41.8781589316,-87.6706990737
393,parking,41.87910772,-87.67069788
394,parking,41.87971208,-87.67098168
395,parking,41.87982052,-87.66972166
396,parking,41.8809374,-87.6635675038
397,parking,41.8834718714,-87.6623915857
398,parking,41.88381772,-87.66140646
399,parking,41.87971124,-87.6640932
400,parking,41.87980176,-87.66468598
402,parking,41.88208634,-87.64921908
403,parking,41.8820177571,-87.6481742857
404,parking,41.88257776,-87.64934726
405,parking,41.88257884,-87.64892332
406,parking,41.8849536375,-87.6480249125
407,parking,41.92944935,-87.6740238333
408,parking,41.92880544,-87.68080254
409,parking,41.92944374,-87.67546572
419,parking,42.0249462692,-87.8930502615
420,parking,42.0254727294,-87.8951204824
422,parking,41.99475054,-87.8686856
426,parking,41.99359838,-87.86349196
427,parking,41.99362928,-87.86253072
429,parking,42.023322519,-87.8956648714
430,parking,42.0232887143,-87.898364
431,parking,41.77711578,-87.64536902
433,parking,41.8953833875,-87.6220817125
434,parking,41.9038643167,-87.6538065667
435,parking,41.9080813,-87.6549452857
436,parking,41.90593522,-87.65504916
437,parking,41.9077841714,-87.6564318286
438,parking,41.9002470154,-87.6493191462
439,parking,41.89950556,-87.64833548
440,parking,41.8994892571,-87.6476394714
441,parking,41.9023029,-87.65180192
442,parking,41.9032732143,-87.6503063143
443,parking,41.9015734,-87.6518450875
445,parking,41.9102958778,-87.6542684667
446,parking,41.912007055,-87.65977975
447,parking,41.9049753333,-87.6495918833
451,parking,41.9112929267,-87.6513361933
452,parking,41.90437355,-87.6588745167
453,parking,41.9030807294,-87.6593954882
455,parking,41.9471298545,-87.6404814545
464,parking,42.0270047833,-87.92610965
466,parking,42.0289713818,-87.9311354
467,parking,42.0289485333,-87.9313692917
468,parking,42.0306772667,-87.8745280429
470,parking,41.994536725,-87.8604090917
471,parking,42.02842812,-87.93468024
472,parking,42.02869874,-87.93457528
473,parking,42.0274080667,-87.9336446111
474,parking,42.03030835,-87.9361439875
475,parking,41.8713287778,-87.7875350611
476,parking,42.0294109684,-87.9299323947
477,parking,42.02909354,-87.92969874
478,parking,41.8519163364,-87.9388432636
479,parking,41.8511638818,-87.9385121636
480,parking,41.6495093615,-87.5816836231
481,parking,41.6504201043,-87.5835845087
482,parking,41.6521231522,-87.5842552957
483,parking,41.9851920909,-87.8305845091
484,parking,41.9853537667,-87.8301496
485,parking,41.98526596,-87.82953098
486,parking,41.9850801875,-87.8285922625
487,parking,41.98526996,-87.8328567
488,parking,41.9855463692,-87.8320548462
489,parking,41.98524226,-87.8312068
490,parking,41.9854680364,-87.8332294091
492,parking,42.01626539,-87.89674062
493,parking,42.0163155,-87.8958644667
494,parking,42.0162663286,-87.8961546714
495,parking,42.0162494,-87.8984509333
496,parking,42.0299473447,-87.9120711342
497,parking,42.0299819625,-87.9102725625
498,parking,42.0296823,-87.909762275
499,parking,42.028836516,-87.90969351
500,parking,41.9979295571,-87.8750101143
501,parking,42.0122296125,-87.877969225
502,parking,42.0122246857,-87.8785414857
503,parking,42.0167295667,-87.8811328667
507,parking,41.87730995,-87.6284476
508,parking,41.87721744,-87.62994748
509,parking,41.87896588,-87.63460968
510,parking,41.87715084,-87.63477155
511,parking,41.8774442,-87.6340655833
514,parking,41.87597494,-87.63337104
516,parking,41.8762527625,-87.63021155
520,parking,42.0096640571,-87.8961426929
521,parking,41.94647106,-87.88516031
524,parking,41.9479494643,-87.8850032857
525,parking,41.95169485,-87.8838555667
526,parking,41.9505702,-87.8843116429
527,parking,41.9475069571,-87.8846516857
528,parking,41.9469057,-87.8851626
529,parking,41.950131,-87.882149225
532,parking,41.9502883714,-87.8814441571
533,parking,41.9504236333,-87.8773466333
537,parking,41.9846758389,-87.8587782667
538,parking,41.985498532,-87.860263756
539,parking,41.8800055692,-87.8326374769
541,parking,41.8811771,-87.8335046857
542,parking,41.8795326,-87.8308051571
543,parking,41.8807788474,-87.8315987526
544,parking,41.9845509789,-87.8603013053
545,bus_station,41.98418386,-87.86027162
547,parking,41.9333668696,-87.8844239609
548,parking,41.98493688,-87.85812948
550,parking,41.92976225,-87.8842696556
551,parking,41.9292272167,-87.88418045
553,parking,41.9148039889,-87.9066047778
554,parking,41.9141219167,-87.9070174
557,parking,41.8804383087,-87.8347057826
558,parking,41.9586424,-87.7899639625
559,parking,41.95878808,-87.78952188
560,parking,41.9577412364,-87.7874431727
561,parking,41.9580401875,-87.7896174625
562,parking,41.9592984462,-87.7901297538
563,parking,41.95802868,-87.78766274
564,parking,41.9577585167,-87.7890328917
565,parking,41.9598345714,-87.7907063143
567,parking,42.0126736909,-87.7670229545
568,parking,42.0124402222,-87.7698463333
569,parking,41.86037148,-87.61042586
570,parking,41.8597754875,-87.6098445875
571,parking,41.8612381667,-87.6098871667
572,parking,41.86500398,-87.64004272
573,parking,41.86317136,-87.63998722
574,parking,41.8658596889,-87.6397966556
576,parking,41.98829598,-87.92630563
577,parking,41.9879246188,-87.9237101688
578,parking,41.9905173143,-87.9255603857
579,parking,41.98061842,-87.90607441
580,parking,41.9776042222,-87.9064293444
581,parking,41.995493295,-87.9137761575
582,parking,41.9915103444,-87.9145236889
583,parking,41.9939460833,-87.9130741167
584,parking,41.9960008667,-87.9238414
585,parking,41.98850246,-87.91575296
586,parking,41.98829285,-87.9183311714
587,parking,41.9886418857,-87.9241207143
588,parking,41.9942893714,-87.9273957143
589,parking,41.99816434,-87.91765568
590,parking,41.976990675,-87.88003025
592,parking,41.94783146,-87.90968934
593,parking,41.94701713,-87.90821949
600,parking,41.93511732,-87.83318446
601,parking,41.9373279,-87.8333584556
602,parking,41.93742726,-87.82730574
603,parking,41.93674505,-87.8289814
604,parking,41.9360819,-87.82866076
605,parking,41.93635778,-87.82758368
617,parking,41.88479454,-87.62671464
622,parking,41.9975816833,-87.7215368
623,parking,41.997001,-87.72123038
626,parking,42.0129809556,-87.7682661444
627,parking,42.0123710857,-87.7688286143
628,parking,42.0132375833,-87.7692304333
630,parking,42.0105374167,-87.7685455167
631,parking,41.9968086556,-87.7152358667
633,parking,42.0260564571,-87.7739259714
639,parking,41.9968808375,-87.8832867875
640,parking,41.99836767,-87.88348715
642,parking,41.9970826478,-87.8822591478
643,parking,41.9973245346,-87.8837736308
648,parking,41.9938192088,-87.8697602029
653,parking,41.991148175,-87.8609487125
