,Latitude,Longitude,Type
0,41.766638237,-87.576450114,Divvy
1,42.057044,-87.686554,Divvy
2,42.023463,-87.699595,Divvy
3,41.895501,-87.682017,Divvy
4,41.87647,-87.62034,Divvy
5,41.897448,-87.628722,Divvy
6,41.899181,-87.6722,Divvy
7,41.956057,-87.668835,Divvy
8,42.019276,-87.68452,Divvy
9,41.84163254,-87.657434953,Divvy
10,41.799659,-87.657195,Divvy
11,41.841707,-87.626938,Divvy
12,41.757871448,-87.54938625,Divvy
13,41.867491,-87.63219,Divvy
14,41.76929309,-87.628195929,Divvy
15,41.858086,-87.651073,Divvy
16,42.041691,-87.680687,Divvy
17,41.887919,-87.774446,Divvy
18,41.900363,-87.696704,Divvy
19,41.867227,-87.625961,Divvy
20,41.884114,-87.654264,Divvy
21,41.865312,-87.617867,Divvy
22,41.876268,-87.629155,Divvy
23,42.064854,-87.715297,Divvy
24,41.932595,-87.665939,Divvy
25,41.87464,-87.65703,Divvy
26,41.866492782,-87.706496176,Divvy
27,41.894877,-87.632326,Divvy
28,41.862378,-87.651062,Divvy
29,41.89122,-87.67686,Divvy
30,41.872773,-87.623981,Divvy
31,41.874618,-87.632882,Divvy
32,41.743116,-87.6148,Divvy
33,41.773720952,-87.60563486,Divvy
34,41.779374,-87.664843,Divvy
35,41.886976,-87.612813,Divvy
36,41.89257,-87.614492,Divvy
37,41.943403,-87.679618,Divvy
38,41.877618,-87.673895,Divvy
39,41.87184,-87.64664,Divvy
40,41.91468,-87.64332,Divvy
41,41.743316,-87.622849,Divvy
42,41.890028,-87.636618,Divvy
43,41.895966,-87.667747,Divvy
44,41.895748,-87.620104,Divvy
45,41.91021,-87.6435,Divvy
46,41.889587,-87.671956,Divvy
47,41.867225957,-87.61535539,Divvy
48,41.880708,-87.741018,Divvy
49,41.744531,-87.56506,Divvy
50,41.96108,-87.73569,Divvy
51,41.744615,-87.551208,Divvy
52,41.886841,-87.745261,Divvy
53,41.91461,-87.667968,Divvy
54,41.946635831,-87.694614758,Divvy
55,41.966686362,-87.708051981,Divvy
56,41.90096039,-87.62377664,Divvy
57,41.936266,-87.652662,Divvy
58,41.92669,-87.697668,Divvy
59,41.918306,-87.636282,Divvy
60,41.949399,-87.654529,Divvy
61,41.849237,-87.631715,Divvy
62,41.758308,-87.606685,Divvy
63,41.763462,-87.637297,Divvy
64,41.88085,-87.727907,Divvy
65,41.887832,-87.755527,Divvy
66,41.885928,-87.73541,Divvy
67,41.877613,-87.745405,Divvy
68,41.914166,-87.716755,Divvy
69,41.892048,-87.689397,Divvy
70,41.875806,-87.755285,Divvy
71,41.883073,-87.656952,Divvy
72,41.880207,-87.755337,Divvy
73,41.878419,-87.640977,Divvy
74,42.004583,-87.661406,Divvy
75,41.880422,-87.642746,Divvy
76,41.912616,-87.681391,Divvy
77,41.8492,-87.67564,Divvy
78,41.855136,-87.654127,Divvy
79,41.880121,-87.763238,Divvy
80,41.872993,-87.764499,Divvy
81,41.949923,-87.713949,Divvy
82,41.868563,-87.686234,Divvy
83,41.766,-87.611726,Divvy
84,41.910535,-87.689556,Divvy
85,41.765286,-87.621748,Divvy
86,41.796642,-87.625923,Divvy
87,41.965845,-87.645361,Divvy
88,41.895634,-87.672069,Divvy
89,41.880281,-87.774453,Divvy
90,41.879255,-87.639904,Divvy
91,41.854109,-87.685838,Divvy
92,41.756971,-87.624621,Divvy
93,41.847203,-87.646795,Divvy
94,41.82168,-87.6216,Divvy
95,41.809851,-87.616279,Divvy
96,41.779835,-87.634774,Divvy
97,41.979851,-87.681932,Divvy
98,41.794354,-87.619304,Divvy
99,41.881892,-87.648789,Divvy
100,41.890762,-87.631697,Divvy
101,41.883165,-87.6511,Divvy
102,41.885951,-87.677009,Divvy
103,41.925905,-87.64926,Divvy
104,41.882091,-87.639833,Divvy
105,41.88137,-87.67493,Divvy
106,41.77987,-87.650919,Divvy
107,41.786691,-87.655859,Divvy
108,41.768898,-87.635876,Divvy
109,41.902997,-87.683825,Divvy
110,41.886926,-87.656919,Divvy
111,41.8378,-87.65114,Divvy
112,41.816499,-87.606582,Divvy
113,41.861267,-87.656625,Divvy
114,41.891795,-87.658751,Divvy
115,41.84847,-87.685109,Divvy
116,41.75866967,-87.586882871,Divvy
117,41.830629,-87.64129,Divvy
118,41.864883,-87.647071,Divvy
119,41.954468,-87.749594,Divvy
120,41.870769,-87.625734,Divvy
121,41.830777,-87.632504,Divvy
122,41.907066,-87.667252,Divvy
123,41.871262,-87.673688,Divvy
124,41.773643,-87.567514,Divvy
125,41.907655,-87.672552,Divvy
126,41.830104654,-87.670298309,Divvy
127,41.831379,-87.618034,Divvy
128,41.877917,-87.735737,Divvy
129,41.874291,-87.667246,Divvy
130,41.778881,-87.586647,Divvy
131,41.794982,-87.633124,Divvy
132,41.874325,-87.725704,Divvy
133,41.76906172,-87.644613578,Divvy
134,41.779381142,-87.644620815,Divvy
135,41.793429457,-87.615853262,Divvy
136,41.780080637,-87.615942857,Divvy
137,41.780599015,-87.606112388,Divvy
138,41.805772,-87.592464,Divvy
139,41.785097146,-87.601072761,Divvy
140,41.946264,-87.731023,Divvy
141,41.898417689,-87.686596016,Divvy
142,41.831274235,-87.608799195,Divvy
143,41.842733,-87.635491,Divvy
144,41.899368439,-87.648479875,Divvy
145,41.994161369,-87.689438282,Divvy
146,41.980394235,-87.716114961,Divvy
147,41.894958,-87.764902,Divvy
148,41.975672,-87.709261,Divvy
149,41.75916,-87.595751,Divvy
150,41.87501,-87.67328,Divvy
151,41.957081,-87.664199,Divvy
152,41.76218896,-87.55927465,Divvy
153,41.994779688,-87.660284535,Divvy
154,41.946655,-87.683359,Divvy
155,41.88592,-87.66717,Divvy
156,41.855048,-87.675726,Divvy
157,41.736646,-87.622634,Divvy
158,41.982397085,-87.70892252,Divvy
159,41.935337283,-87.716889294,Divvy
160,41.939365,-87.668385,Divvy
161,41.984036696,-87.652310469,Divvy
162,41.885837,-87.6355,Divvy
163,41.889176833,-87.638505772,Divvy
164,41.758361,-87.614138,Divvy
165,41.865054,-87.656959,Divvy
166,41.751173,-87.585337,Divvy
167,42.012132277,-87.682912644,Divvy
168,41.83104,-87.62688,Divvy
169,41.911974,-87.631942,Divvy
170,41.96325,-87.679258,Divvy
171,41.909769302,-87.705280487,Divvy
172,41.969517,-87.654691,Divvy
173,41.799336263,-87.600958115,Divvy
174,41.961068,-87.695439,Divvy
175,41.75182,-87.565211,Divvy
176,41.823465,-87.665577,Divvy
177,41.751294,-87.597552,Divvy
178,41.924632472,-87.689307006,Divvy
179,41.753174,-87.605026,Divvy
180,41.765508006,-87.616917925,Divvy
181,41.898203,-87.637536,Divvy
182,41.877749,-87.649633,Divvy
183,41.766492937,-87.586460878,Divvy
184,41.795264,-87.596471,Divvy
185,41.96167,-87.65464,Divvy
186,41.918216,-87.656936,Divvy
187,41.885409,-87.726491,Divvy
188,41.780079633,-87.629746305,Divvy
189,41.924377,-87.728231,Divvy
190,41.991178,-87.683593,Divvy
191,41.80839,-87.656526,Divvy
192,41.910522,-87.653106,Divvy
193,41.838842,-87.621857,Divvy
194,41.878724,-87.634793,Divvy
195,41.757120068,-87.575839359,Divvy
196,41.758768,-87.56644,Divvy
197,41.746559,-87.586005,Divvy
198,41.803023,-87.664699,Divvy
199,41.94018,-87.65304,Divvy
200,41.911386,-87.638677,Divvy
201,41.907993,-87.631501,Divvy
202,41.816207679,-87.63481935,Divvy
203,41.805661,-87.683392,Divvy
204,41.744123,-87.599034,Divvy
205,41.766409457,-87.565687572,Divvy
206,41.744053,-87.604786,Divvy
207,41.808227,-87.67718,Divvy
208,41.896776,-87.635633,Divvy
209,41.91844,-87.65222,Divvy
210,41.893992,-87.629318,Divvy
211,41.871466518,-87.640949133,Divvy
212,41.809317709,-87.633449288,Divvy
213,41.781016372,-87.57611976,Divvy
214,41.808133915,-87.645616554,Divvy
215,41.917805,-87.682437,Divvy
216,41.802562,-87.590368,Divvy
217,41.816658893,-87.619412462,Divvy
218,41.802294651,-87.61805358,Divvy
219,41.874754,-87.649807,Divvy
220,41.838198,-87.645143,Divvy
221,41.85378,-87.64665,Divvy
222,41.922167,-87.638888,Divvy
223,41.809855,-87.606755,Divvy
224,41.743921,-87.575225,Divvy
225,41.8349,-87.61793,Divvy
226,41.857556,-87.661535,Divvy
227,41.920195,-87.693033,Divvy
228,41.903266,-87.678435,Divvy
229,41.961041,-87.705866,Divvy
230,41.883132,-87.637321,Divvy
231,41.857901,-87.668745,Divvy
232,41.879787709,-87.686112808,Divvy
233,41.882134,-87.625125,Divvy
234,41.838556,-87.608218,Divvy
235,41.880381,-87.639507,Divvy
236,41.836208,-87.613533,Divvy
237,41.884603285,-87.706303744,Divvy
238,41.834734,-87.625813,Divvy
239,41.90345,-87.667747,Divvy
240,41.872596,-87.633502,Divvy
241,41.85795,-87.640826,Divvy
242,41.856594,-87.627542,Divvy
243,41.912919,-87.664169,Divvy
244,41.887664,-87.765469,Divvy
245,41.845687,-87.622481,Divvy
246,41.990236029,-87.69336964,Divvy
247,41.784141693,-87.61330783,Divvy
248,41.853533632,-87.705073032,Divvy
249,41.871514,-87.669886,Divvy
250,41.875679,-87.71547,Divvy
251,41.822985,-87.6071,Divvy
252,41.889727,-87.70103,Divvy
253,41.953733,-87.740569,Divvy
254,41.768726,-87.664069,Divvy
255,41.889906,-87.634266,Divvy
256,41.961525933,-87.691165041,Divvy
257,41.8694821,-87.6554864,Divvy
258,41.94815,-87.66394,Divvy
